AdmissionNo,ProductDescription,LoanNo,TransactionDate,LedgerFolioNo,DisbursementAmount,OtherChargesDebitAmount,CollectedPrincipal,CollectedInterest,CollectedPenalInterest,CollectedIOD,CollectedOthers,BalancePrincipal,BalanceInterest,BalancePenalInterest,BalanceIOD,Charges,PacsId,BranchId,PurposeDescription
2,Normal KCC,1,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
4,Normal KCC,2,19-06-2023,,60000,0,0,0,0,0,0,60000,0,0,0,0,91150301037001,,Sugar Cane Plant
5,Normal KCC,3,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
6,Normal KCC,4,19-06-2023,,15000,0,0,0,0,0,0,15000,0,0,0,0,91150301037001,,Sugar Cane Plant
7,Normal KCC,5,19-06-2023,,140000,0,0,0,0,0,0,140000,0,0,0,0,91150301037001,,Sugar Cane Plant
8,Normal KCC,6,19-06-2023,,150000,0,0,0,0,0,0,150000,0,0,0,0,91150301037001,,Sugar Cane Plant
74,Normal KCC,8,19-06-2023,,30000,0,0,0,0,0,0,30000,0,0,0,0,91150301037001,,Sugar Cane Plant
9,Normal KCC,9,19-06-2023,,15000,0,0,0,0,0,0,15000,0,0,0,0,91150301037001,,Sugar Cane Plant
10,Normal KCC,10,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
11,Normal KCC,11,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
12,Normal KCC,12,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
13,Normal KCC,13,19-06-2023,,60000,0,0,0,0,0,0,60000,0,0,0,0,91150301037001,,Sugar Cane Plant
17,Normal KCC,14,19-06-2023,,45000,0,0,0,0,0,0,45000,0,0,0,0,91150301037001,,Sugar Cane Plant
18,Normal KCC,15,19-06-2023,,45000,0,0,0,0,0,0,45000,0,0,0,0,91150301037001,,Sugar Cane Plant
23,Normal KCC,16,19-06-2023,,25000,0,0,0,0,0,0,25000,0,0,0,0,91150301037001,,Sugar Cane Plant
25,Normal KCC,17,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
