"SlNo","ProductDescription","AdmissionNo","LoanNo","Scheme","CropDescription","SanctionedDate","SanctionedAmount","LoanPeriod","DueDate","ROIPercentage","PenalROIPercentage","IODPercentage","OutstandingPrincipal","OutstandingInterest","PacsId","BranchId"
,"Normal KCC","2","1","Normal","Sugar Cane Plant","2023-06-19","80000","12","2024-06-18","12","0.01","12.01","80000","0","91150301037001",
,"Normal KCC","4","2","Normal","Sugar Cane Plant","2023-06-19","60000","12","2024-06-18","12","0.01","12.01","60000","0","91150301037001",
,"Normal KCC","5","3","Normal","Sugar Cane Plant","2023-06-19","80000","12","2024-06-18","12","0.01","12.01","80000","0","91150301037001",
,"Normal KCC","6","4","Normal","Sugar Cane Plant","2023-06-19","15000","12","2024-06-18","12","0.01","12.01","15000","0","91150301037001",
,"Normal KCC","7","5","Normal","Sugar Cane Plant","2023-06-19","140000","12","2024-06-18","12","0.01","12.01","140000","0","91150301037001",
,"Normal KCC","8","6","Normal","Sugar Cane Plant","2023-06-19","150000","12","2024-06-18","12","0.01","12.01","150000","0","91150301037001",
,"Normal KCC","74","8","Normal","Sugar Cane Plant","2023-06-19","30000","12","2024-06-18","12","0.01","12.01","30000","0","91150301037001",
,"Normal KCC","9","9","Normal","Sugar Cane Plant","2023-06-19","15000","12","2024-06-18","12","0.01","12.01","15000","0","91150301037001",
,"Normal KCC","10","10","Normal","Sugar Cane Plant","2023-06-19","70000","12","2024-06-18","12","0.01","12.01","70000","0","91150301037001",
,"Normal KCC","11","11","Normal","Sugar Cane Plant","2023-06-19","70000","12","2024-06-18","12","0.01","12.01","70000","0","91150301037001",
,"Normal KCC","12","12","Normal","Sugar Cane Plant","2023-06-19","70000","12","2024-06-18","12","0.01","12.01","70000","0","91150301037001",
,"Normal KCC","13","13","Normal","Sugar Cane Plant","2023-06-19","60000","12","2024-06-18","12","0.01","12.01","60000","0","91150301037001",
,"Normal KCC","17","14","Normal","Sugar Cane Plant","2023-06-19","45000","12","2024-06-18","12","0.01","12.01","45000","0","91150301037001",
,"Normal KCC","18","15","Normal","Sugar Cane Plant","2023-06-19","45000","12","2024-06-18","12","0.01","12.01","45000","0","91150301037001",
,"Normal KCC","23","16","Normal","Sugar Cane Plant","2023-06-19","25000","12","2024-06-18","12","0.01","12.01","25000","0","91150301037001",
,"Normal KCC","25","17","Normal","Sugar Cane Plant","2023-06-19","80000","12","2024-06-18","12","0.01","12.01","80000","0","91150301037001",
,"Normal KCC","28","18","Normal","Sugar Cane Plant","2023-06-19","80000","12","2024-06-18","12","0.01","12.01","80000","0","91150301037001",
,"Normal KCC","29","19","Normal","Sugar Cane Plant","2023-06-19","100000","12","2024-06-18","12","0.01","12.01","100000","0","91150301037001",
,"Normal KCC","30","20","Normal","Sugar Cane Plant","2023-06-19","18000","12","2024-06-18","12","0.01","12.01","18000","0","91150301037001",
,"Normal KCC","31","21","Normal","Sugar Cane Plant","2023-06-19","35000","12","2024-06-18","12","0.01","12.01","35000","0","91150301037001",
,"Normal KCC","34","22","Normal","Sugar Cane Plant","2023-06-19","35000","12","2024-06-18","12","0.01","12.01","35000","0","91150301037001",
,"Normal KCC","35","23","Normal","Sugar Cane Plant","2023-06-19","35000","12","2024-06-18","12","0.01","12.01","35000","0","91150301037001",
,"Normal KCC","36","24","Normal","Sugar Cane Plant","2023-06-19","35000","12","2024-06-18","12","0.01","12.01","35000","0","91150301037001",
,"Normal KCC","37","25","Normal","Sugar Cane Plant","2023-06-19","23000","12","2024-06-18","12","0.01","12.01","23000","0","91150301037001",
,"Normal KCC","38","26","Normal","Sugar Cane Plant","2023-06-19","80000","12","2024-06-18","12","0.01","12.01","80000","0","91150301037001",
,"Normal KCC","40","27","Normal","Sugar Cane Plant","2023-06-19","23000","12","2024-06-18","12","0.01","12.01","23000","0","91150301037001",
,"Normal KCC","41","28","Normal","Sugar Cane Plant","2023-06-19","12000","12","2024-06-18","12","0.01","12.01","12000","0","91150301037001",
,"Normal KCC","42","29","Normal","Sugar Cane Plant","2023-06-19","23000","12","2024-06-18","12","0.01","12.01","23000","0","91150301037001",
,"Normal KCC","44","30","Normal","Sugar Cane Plant","2023-06-19","23000","12","2024-06-18","12","0.01","12.01","23000","0","91150301037001",
,"Normal KCC","43","31","Normal","Sugar Cane Plant","2023-06-19","4500","12","2024-06-18","12","0.01","12.01","4500","0","91150301037001",
,"Normal KCC","45","32","Normal","Sugar Cane Plant","2023-06-19","12000","12","2024-06-18","12","0.01","12.01","12000","0","91150301037001",
,"Normal KCC","46","33","Normal","Sugar Cane Plant","2023-06-19","23000","12","2024-06-18","12","0.01","12.01","23000","0","91150301037001",
,"Normal KCC","47","34","Normal","Sugar Cane Plant","2023-06-19","4500","12","2024-06-18","12","0.01","12.01","4500","0","91150301037001",
,"Normal KCC","48","35","Normal","Sugar Cane Plant","2023-06-19","23000","12","2024-06-18","12","0.01","12.01","23000","0","91150301037001",
,"Normal KCC","49","36","Normal","Sugar Cane Plant","2023-06-19","4500","12","2024-06-18","12","0.01","12.01","4500","0","91150301037001",
,"Normal KCC","50","37","Normal","Sugar Cane Plant","2023-06-19","65000","12","2024-06-18","12","0.01","12.01","65000","0","91150301037001",
,"Normal KCC","52","38","Normal","Sugar Cane Plant","2023-06-19","65000","12","2024-06-18","12","0.01","12.01","65000","0","91150301037001",
,"Normal KCC","54","39","Normal","Sugar Cane Plant","2023-06-19","65000","12","2024-06-18","12","0.01","12.01","65000","0","91150301037001",
,"Normal KCC","55","40","Normal","Sugar Cane Plant","2023-06-19","65000","12","2024-06-18","12","0.01","12.01","65000","0","91150301037001",
,"Normal KCC","62","44","Normal","Sugar Cane Plant","2023-06-19","15000","12","2024-06-18","12","0.01","12.01","15000","0","91150301037001",
,"Normal KCC","70","48","Normal","Sugar Cane Plant","2023-06-19","28000","12","2024-06-18","12","0.01","12.01","28000","0","91150301037001",
,"Normal KCC","69","50","Normal","Sugar Cane Plant","2023-06-19","18000","12","2024-06-18","12","0.01","12.01","18000","0","91150301037001",
,"Normal KCC","26","51","Normal","Sugar Cane Plant","2023-06-19","60000","12","2024-06-18","12","0.01","12.01","60000","0","91150301037001",
,"Normal KCC","63","53","Normal","Sugar Cane Plant","2023-06-19","80000","12","2024-06-18","12","0.01","12.01","80000","0","91150301037001",
,"Normal KCC","27","54","Normal","Sugar Cane Plant","2023-06-19","100000","12","2024-06-18","12","0.01","12.01","100000","0","91150301037001",
,"Normal KCC","81","55","Normal","Sugar Cane Plant","2023-06-19","80000","12","2024-06-18","12","0.01","12.01","80000","0","91150301037001",
,"Normal KCC","82","56","Normal","Sugar Cane Plant","2023-06-19","70000","12","2024-06-18","12","0.01","12.01","70000","0","91150301037001",
,"Normal KCC","80","57","Normal","Sugar Cane Plant","2023-06-19","39000","12","2024-06-18","12","0.01","12.01","39000","0","91150301037001",
,"Normal KCC","67","59","Normal","Sugar Cane Plant","2023-06-19","95000","12","2024-06-18","12","0.01","12.01","95000","0","91150301037001",
,"Normal KCC","78","61","Normal","Sugar Cane Plant","2023-06-19","4500","12","2024-06-18","12","0.01","12.01","4500","0","91150301037001",
