"admission_no","admission_date","deposit_date"
"246","2024-01-10","2018-03-31"
"248","2021-03-31","2018-03-31"
"250","2024-01-10","2018-03-31"
"259","2024-01-10","2018-03-31"
"261","2021-04-05","2018-03-31"
"249","2024-01-10","2018-03-31"
"326","2024-01-10","2018-03-31"
"262","2024-01-10","2018-03-31"
"263","2024-01-10","2018-03-31"
"264","2024-01-10","2018-03-31"
"265","2024-01-10","2018-03-31"
"267","2024-01-10","2018-03-31"
"268","2021-04-05","2018-03-31"
"269","2024-01-10","2018-03-31"
"270","2024-01-10","2018-03-31"
"271","2024-01-10","2018-03-31"
"274","2024-01-10","2018-03-31"
"275","2024-01-10","2018-03-31"
"276","2024-01-10","2018-03-31"
"277","2024-01-10","2018-03-31"
"278","2024-01-10","2018-03-31"
"279","2024-01-10","2018-03-31"
"280","2021-04-05","2018-03-31"
"281","2024-01-10","2018-03-31"
"282","2024-01-10","2018-03-31"
"283","2024-01-10","2018-03-31"
"284","2024-01-10","2018-03-31"
"285","2024-01-10","2018-03-31"
"286","2024-01-10","2018-03-31"
"287","2024-01-10","2018-03-31"
"288","2024-01-10","2018-03-31"
"350","2018-04-21","2018-03-31"
"488","2021-04-05","2018-03-31"
"490","2024-01-10","2018-03-31"
"316","2024-01-10","2018-03-31"
"330","2024-01-10","2018-03-31"
"364","2024-01-10","2018-03-31"
"497","2024-01-10","2018-03-31"
"476","2018-10-20","2018-03-31"
"450","2018-04-21","2018-03-31"
"404","2024-01-10","2018-03-31"
"417","2024-01-10","2018-03-31"
"344","2018-10-23","2018-03-31"
"530","2024-01-10","2018-03-31"
"531","2024-01-10","2018-03-31"
"533","2024-01-10","2018-03-31"
"340","2018-04-21","2018-03-31"
"536","2024-01-10","2018-03-31"
"420","2024-01-10","2018-03-31"
"468","2018-04-21","2018-03-31"
"513","2021-04-05","2018-03-31"
"508","2024-01-10","2018-03-31"
"429","2018-04-21","2018-03-31"
"503","2024-01-10","2018-03-31"
"566","2024-01-10","2018-03-31"
"459","2018-04-21","2018-03-31"
"422","2018-04-21","2018-03-31"
"535","2024-01-10","2018-03-31"
"580","2024-01-10","2018-03-31"
"525","2024-01-10","2018-03-31"
"583","2024-01-10","2018-03-31"
"504","2024-01-10","2018-03-31"
"595","2019-12-30","2018-03-31"
"363","2024-01-10","2018-03-31"
"607","2024-01-10","2018-03-31"
"501","2024-01-10","2018-03-31"
"622","2024-01-10","2018-03-31"
"596","2024-01-10","2018-03-31"
"627","2021-04-05","2018-03-31"
"651","2024-01-10","2018-03-31"
"656","2024-01-10","2018-03-31"
"575","2024-01-10","2018-03-31"
"597","2024-01-10","2018-03-31"
"669","2024-01-10","2018-03-31"
"356","2024-01-10","2018-03-31"
"599","2020-01-01","2018-03-31"
"598","2020-01-06","2018-03-31"
"683","2024-01-10","2018-03-31"
"558","2024-01-10","2018-03-31"
"366","2024-01-10","2018-03-31"
"657","2024-01-10","2018-03-31"
"592","2019-12-24","2018-03-31"
"436","2018-04-21","2018-03-31"
"317","2024-01-10","2018-03-31"
"643","2024-01-10","2018-03-31"
"635","2024-01-10","2018-03-31"
"723","2021-04-05","2018-03-31"
"800","2024-01-10","2018-03-31"
"646","2024-01-10","2018-03-31"
"749","2024-01-10","2018-03-31"
"461","2018-04-21","2018-03-31"
"524","2024-01-10","2018-03-31"
"398","2024-01-10","2018-03-31"
"564","2024-01-10","2018-03-31"
"824","2024-01-10","2018-03-31"
"449","2018-04-21","2018-03-31"
"692","2021-04-05","2018-03-31"
"726","2021-04-05","2018-03-31"
"783","2024-01-10","2018-03-31"
"837","2024-01-10","2018-03-31"
"473","2018-04-21","2018-03-31"
"816","2024-01-10","2018-03-31"
"443","2018-04-21","2018-03-31"
"467","2018-04-21","2018-03-31"
"731","2021-04-05","2018-03-31"
"425","2018-04-21","2018-03-31"
"426","2018-04-21","2018-03-31"
"428","2018-04-21","2018-03-31"
"432","2018-04-21","2018-03-31"
"434","2018-04-21","2018-03-31"
"435","2018-04-21","2018-03-31"
"437","2018-04-21","2018-03-31"
"438","2018-04-21","2018-03-31"
"439","2018-04-21","2018-03-31"
"440","2018-04-21","2018-03-31"
"441","2018-04-21","2018-03-31"
"442","2018-04-21","2018-03-31"
"331","2018-04-21","2018-03-31"
"444","2018-04-21","2018-03-31"
"445","2018-04-21","2018-03-31"
"446","2018-04-21","2018-03-31"
"447","2018-04-21","2018-03-31"
"448","2018-04-21","2018-03-31"
"382","2018-04-21","2018-03-31"
"451","2018-04-21","2018-03-31"
"452","2018-04-21","2018-03-31"
"453","2018-04-21","2018-03-31"
"454","2018-04-21","2018-03-31"
"455","2018-04-21","2018-03-31"
"456","2018-04-21","2018-03-31"
"457","2018-04-21","2018-03-31"
"458","2018-04-21","2018-03-31"
"460","2018-04-21","2018-03-31"
"462","2018-04-21","2018-03-31"
"463","2018-04-21","2018-03-31"
"465","2018-04-21","2018-03-31"
