"admission_no","admission_date","deposit_date"
"497","2024-01-10","2018-09-25"
"540","2024-01-10","2019-03-29"
"542","2024-01-10","2019-04-02"
"531","2024-01-10","2019-04-02"
"550","2024-01-10","2019-04-16"
"554","2024-01-10","2019-04-24"
"556","2024-01-10","2019-05-20"
"565","2024-01-10","2019-06-19"
"566","2024-01-10","2019-06-19"
"569","2024-01-10","2023-04-10"
"577","2024-01-10","2019-10-05"
"602","2024-01-10","2020-01-20"
"603","2024-01-10","2020-01-20"
"604","2024-01-10","2020-01-20"
"605","2024-01-10","2020-01-20"
"613","2024-01-10","2020-02-07"
"624","2024-01-10","2020-03-06"
"640","2024-01-10","2020-05-18"
"551","2024-01-10","2020-05-19"
"679","2024-01-10","2021-01-20"
"683","2024-01-10","2021-02-09"
"679","2024-01-10","2021-02-26"
"743","2024-01-10","2021-03-15"
"746","2024-01-10","2021-03-27"
"752","2024-01-10","2021-04-05"
"673","2024-01-10","2021-05-31"
"763","2024-01-10","2021-06-03"
"771","2024-01-10","2021-07-16"
"410","2024-01-10","2021-06-09"
"572","2024-01-10","2021-11-02"
"412","2024-01-10","2023-12-08"
"345","2024-01-10","2023-02-18"
"417","2024-01-10","2023-09-13"
"490","2024-01-10","2023-11-06"
"417","2024-01-10","2024-01-02"
"417","2024-01-10","2023-04-17"
"566","2024-01-10","2023-07-06"
"345","2024-01-10","2023-12-12"
"635","2024-01-10","2023-08-22"
"636","2024-01-10","2022-07-09"
"648","2024-01-10","2023-09-04"
"651","2024-01-10","2023-03-13"
"655","2024-01-10","2023-09-13"
"623","2024-01-10","2023-10-10"
"664","2024-01-10","2023-10-10"
"685","2024-01-10","2023-06-08"
"657","2024-01-10","2023-06-29"
"761","2024-01-10","2023-08-29"
"673","2024-01-10","2023-04-24"
"770","2024-01-10","2023-05-08"
"774","2024-01-10","2023-09-09"
"275","2024-01-10","2020-08-14"
"782","2024-01-10","2020-09-24"
"786","2024-01-10","2023-02-10"
"788","2024-01-10","2023-08-07"
"789","2024-01-10","2021-05-24"
"792","2024-01-10","2021-09-13"
"793","2024-01-10","2023-06-30"
"796","2024-01-10","2023-07-20"
"798","2024-01-10","2021-07-24"
"799","2024-01-10","2023-03-06"
"271","2024-01-10","2023-03-06"
"805","2024-01-10","2023-03-06"
"806","2024-01-10","2021-10-05"
"807","2024-01-10","2021-10-19"
"808","2024-01-10","2023-10-18"
"817","2024-01-10","2023-11-21"
"821","2024-01-10","2023-11-21"
"822","2024-01-10","2021-11-09"
"825","2024-01-10","2023-11-27"
"827","2024-01-10","2021-11-26"
"770","2024-01-10","2023-05-18"
"832","2024-01-10","2021-12-01"
"834","2024-01-10","2023-11-04"
"836","2024-01-10","2023-12-18"
"839","2024-01-10","2023-01-13"
"271","2024-01-10","2023-01-13"
"844","2024-01-10","2023-06-02"
"847","2024-01-10","2022-03-21"
"848","2024-01-10","2022-03-29"
"849","2024-01-10","2023-04-12"
"345","2024-01-10","2023-04-26"
"283","2024-01-10","2023-06-26"
"852","2024-01-10","2023-11-06"
"855","2024-01-10","2022-07-21"
"857","2024-01-10","2022-07-30"
"858","2024-01-10","2022-08-10"
"863","2024-01-10","2022-08-09"
"862","2024-01-10","2023-09-20"
"864","2024-01-10","2023-09-22"
"865","2024-01-10","2023-11-21"
"867","2024-01-10","2022-10-10"
"868","2024-01-10","2022-10-15"
"870","2024-01-10","2023-11-15"
"871","2024-01-10","2023-11-15"
"824","2024-01-10","2023-11-15"
"878","2024-01-10","2023-03-16"
"879","2024-01-10","2023-11-29"
"250","2024-01-10","2023-12-20"
"926","2024-01-10","2023-04-10"
"929","2024-01-10","2023-05-30"
"903","2024-01-10","2023-05-30"
