ADMISSION NO.,LOAN TYPE,PRODUCT,LOAN NO.,CROP / PURPOSE,LEDGER FOLIO NO.,SCHEME,SANCTION DATE,SANCTION AMOUNT,Loan Period( In Months),Due Date,ROI,Penal ROI,ROI After Due Date,REPAYMENT MODE,GESTATION PERIOD,FIRST INSTALLMENT DUE DATE,INSTALLMENT AMOUNT,DPN NO.,LA NO.,LC NO.,LC DATE,DCCB NO.,Outstanding Principal (Rs.),Outstanding Interest (Rs.)
510,Other Loans,Small Business Development Loan,10,Small Business Loans ,1,Normal,25-10-2017,"2,00,000.00 ",12,24-10-2018,15,3,18,Yearly,,,,,,,,,"2,00,000.00 ",
28,Other Loans,Small Business Development Loan,44,Small Business Loans ,1,Normal,19-01-2021,"1,00,000.00 ",12,18-01-2022,15,3,18,Yearly,,,,,,,,,"1,00,000.00 ",
1313,Other Loans,Small Business Development Loan,122,Small Business Loans ,1,Normal,02-03-2024,"2,00,000.00 ",12,01-03-2025,15,3,18,Yearly,,,,,,,,,"2,00,000.00 ",
1422,Other Loans,Small Business Development Loan,150,Small Business Loans ,1,Normal,15-03-2021,"30,000.00 ",12,14-03-2022,15,3,18,Yearly,,,,,,,,,"30,000.00 ",
1492,Other Loans,Small Business Development Loan,165,Small Business Loans ,1,Normal,03-06-2023,"25,000.00 ",12,01-06-2024,15,3,18,Yearly,,,,,,,,,"25,000.00 ",
1385,Other Loans,Small Business Development Loan,169,Small Business Loans ,1,Normal,27-03-2024,"1,00,000.00 ",12,26-03-2025,15,3,18,Yearly,,,,,,,,,"1,00,000.00 ",
1495,Other Loans,Small Business Development Loan,170,Small Business Loans ,1,Normal,11-08-2021,"2,00,000.00 ",12,10-08-2022,15,3,18,Yearly,,,,,,,,,"2,00,000.00 ",
1499,Other Loans,Small Business Development Loan,175,Small Business Loans ,1,Normal,16-02-2024,"31,970.00 ",12,14-02-2025,15,3,18,Yearly,,,,,,,,,"31,970.00 ",
1740,Other Loans,Small Business Development Loan,335,Small Business Loans ,1,Normal,17-02-2024,"2,00,000.00 ",12,15-02-2025,15,3,18,Yearly,,,,,,,,,"2,00,000.00 ",
1657,Other Loans,Small Business Development Loan,472,Small Business Loans ,1,Normal,02-06-2023,"1,25,000.00 ",12,31-05-2024,15,3,18,Yearly,,,,,,,,,"1,25,000.00 ",
501,Other Loans,Small Business Development Loan,477,Small Business Loans ,1,Normal,13-03-2024,"50,000.00 ",12,12-03-2025,15,3,18,Yearly,,,,,,,,,"50,000.00 ",
1185,Other Loans,Small Business Development Loan,489,Small Business Loans ,1,Normal,15-05-2023,"1,00,000.00 ",12,13-05-2024,15,3,18,Yearly,,,,,,,,,"1,00,000.00 ",
646,Other Loans,Small Business Development Loan,498,Small Business Loans ,1,Normal,14-10-2022,"50,000.00 ",12,13-10-2023,15,3,18,Yearly,,,,,,,,,"50,000.00 ",
1654,Other Loans,Small Business Development Loan,533,Small Business Loans ,1,Normal,27-03-2024,"30,000.00 ",12,26-03-2025,15,3,18,Yearly,,,,,,,,,"30,000.00 ",
1640,Other Loans,Small Business Development Loan,582,Small Business Loans ,1,Normal,18-05-2023,"1,00,000.00 ",12,16-05-2024,15,3,18,Yearly,,,,,,,,,"1,00,000.00 ",
1352,Other Loans,Small Business Development Loan,589,Small Business Loans ,1,Normal,11-09-2023,"30,000.00 ",12,09-09-2024,15,3,18,Yearly,,,,,,,,,"30,000.00 ",
62,Other Loans,Small Business Development Loan,595,Small Business Loans ,1,Normal,07-02-2024,"51,500.00 ",12,05-02-2025,15,3,18,Yearly,,,,,,,,,"51,500.00 ",
762,Other Loans,Small Business Development Loan,599,Small Business Loans ,1,Normal,11-03-2024,"25,000.00 ",12,10-03-2025,15,3,18,Yearly,,,,,,,,,"25,000.00 ",
1062,Other Loans,Small Business Development Loan,600,Small Business Loans ,1,Normal,30-03-2022,"25,000.00 ",12,29-03-2023,15,3,18,Yearly,,,,,,,,,"25,000.00 ",
1439,Other Loans,Small Business Development Loan,602,Small Business Loans ,1,Normal,23-08-2023,"50,000.00 ",12,21-08-2024,15,3,18,Yearly,,,,,,,,,"50,000.00 ",
376,Other Loans,Small Business Development Loan,604,Small Business Loans ,1,Normal,06-10-2022,"34,000.00 ",12,05-10-2023,15,3,18,Yearly,,,,,,,,,"34,000.00 ",
42,Other Loans,Small Business Development Loan,612,Small Business Loans ,1,Normal,20-01-2024,"2,00,000.00 ",12,18-01-2025,15,3,18,Yearly,,,,,,,,,"2,00,000.00 ",
453,Other Loans,Small Business Development Loan,613,Small Business Loans ,1,Normal,29-03-2019,"2,00,000.00 ",12,27-03-2020,15,3,18,Yearly,,,,,,,,,"2,00,000.00 ",
519,Other Loans,Small Business Development Loan,614,Small Business Loans ,1,Normal,29-03-2019,"2,00,000.00 ",12,27-03-2020,15,3,18,Yearly,,,,,,,,,"2,00,000.00 ",
53,Other Loans,Small Business Development Loan,615,Small Business Loans ,1,Normal,29-03-2019,"2,00,000.00 ",12,27-03-2020,15,3,18,Yearly,,,,,,,,,"2,00,000.00 ",
584,Other Loans,Small Business Development Loan,616,Small Business Loans ,1,Normal,29-03-2019,"2,00,000.00 ",12,27-03-2020,15,3,18,Yearly,,,,,,,,,"2,00,000.00 ",
1309,Other Loans,Small Business Development Loan,624,Small Business Loans ,1,Normal,14-09-2020,"50,000.00 ",12,13-09-2021,15,3,18,Yearly,,,,,,,,,"50,000.00 ",
2524,Other Loans,Small Business Development Loan,627,Small Business Loans ,1,Normal,18-10-2023,"2,00,000.00 ",12,16-10-2024,15,3,18,Yearly,,,,,,,,,"2,00,000.00 ",
572,Other Loans,Small Business Development Loan,630,Small Business Loans ,1,Normal,21-02-2024,"50,000.00 ",12,19-02-2025,15,3,18,Yearly,,,,,,,,,"50,000.00 ",
1803,Other Loans,Small Business Development Loan,633,Small Business Loans ,1,Normal,04-08-2023,"30,000.00 ",12,02-08-2024,15,3,18,Yearly,,,,,,,,,"30,000.00 ",
112,Other Loans,Small Business Development Loan,637,Small Business Loans ,1,Normal,30-03-2023,"1,96,670.00 ",12,28-03-2024,15,3,18,Yearly,,,,,,,,,"1,96,670.00 ",
338,Other Loans,Small Business Development Loan,638,Small Business Loans ,1,Normal,24-04-2023,"2,00,000.00 ",12,22-04-2024,15,3,18,Yearly,,,,,,,,,"2,00,000.00 ",
737,Other Loans,Small Business Development Loan,641,Small Business Loans ,1,Normal,13-03-2024,"1,00,000.00 ",12,12-03-2025,15,3,18,Yearly,,,,,,,,,"1,00,000.00 ",
1604,Other Loans,Small Business Development Loan,644,Small Business Loans ,1,Normal,24-04-2023,"50,000.00 ",12,22-04-2024,15,3,18,Yearly,,,,,,,,,"50,000.00 ",
1279,Other Loans,Small Business Development Loan,645,Small Business Loans ,1,Normal,06-10-2023,"2,00,000.00 ",12,04-10-2024,15,3,18,Yearly,,,,,,,,,"2,00,000.00 ",
1300,Other Loans,Small Business Development Loan,646,Small Business Loans ,1,Normal,19-02-2024,"50,000.00 ",12,17-02-2025,15,3,18,Yearly,,,,,,,,,"50,000.00 ",
1414,Other Loans,Small Business Development Loan,648,Small Business Loans ,1,Normal,08-05-2023,"30,000.00 ",12,06-05-2024,15,3,18,Yearly,,,,,,,,,"30,000.00 ",
1905,Other Loans,Small Business Development Loan,652,Small Business Loans ,1,Normal,27-06-2023,"1,00,000.00 ",12,25-06-2024,15,3,18,Yearly,,,,,,,,,"1,00,000.00 ",
676,Other Loans,Small Business Development Loan,653,Small Business Loans ,1,Normal,31-10-2023,"1,58,000.00 ",12,29-10-2024,15,3,18,Yearly,,,,,,,,,"1,58,000.00 ",
1411,Other Loans,Small Business Development Loan,654,Small Business Loans ,1,Normal,31-10-2023,"1,00,000.00 ",12,29-10-2024,15,3,18,Yearly,,,,,,,,,"1,00,000.00 ",
1167,Other Loans,Small Business Development Loan,657,Small Business Loans ,1,Normal,11-12-2023,"2,00,000.00 ",12,09-12-2024,15,3,18,Yearly,,,,,,,,,"2,00,000.00 ",
1201,Other Loans,Small Business Development Loan,658,Small Business Loans ,1,Normal,06-09-2023,"1,50,000.00 ",12,04-09-2024,15,3,18,Yearly,,,,,,,,,"1,50,000.00 ",
1626,Other Loans,Small Business Development Loan,659,Small Business Loans ,1,Normal,12-12-2023,"50,000.00 ",12,10-12-2024,15,3,18,Yearly,,,,,,,,,"50,000.00 ",
1639,Other Loans,Small Business Development Loan,660,Small Business Loans ,1,Normal,03-07-2023,"1,00,000.00 ",12,01-07-2024,15,3,18,Yearly,,,,,,,,,"1,00,000.00 ",
