"AdmissionNo","ProductDescription","LoanNo","TransactionDate","LedgerFolioNo","DisbursementAmount","OtherChargesDebitAmount","CollectedPrincipal","CollectedInterest","CollectedPenalInterest","CollectedIOD","CollectedOthers","BalancePrincipal","BalanceInterest","BalancePenalInterest","BalanceIOD","Charges","PacsId","BranchId"
"510","Small Business Development Loan","10","2017-10-25","1","2,00,000.00 ","0","0","0","0","0","0","2,00,000.00 ","0","0","0","0","91150108064001",
"28","Small Business Development Loan","44","2021-01-19","1","1,00,000.00 ","0","0","0","0","0","0","1,00,000.00 ","0","0","0","0","91150108064001",
"1313","Small Business Development Loan","122","2024-03-02","1","2,00,000.00 ","0","0","0","0","0","0","2,00,000.00 ","0","0","0","0","91150108064001",
"1422","Small Business Development Loan","150","2021-03-15","1","30,000.00 ","0","0","0","0","0","0","30,000.00 ","0","0","0","0","91150108064001",
"1492","Small Business Development Loan","165","2023-06-03","1","25,000.00 ","0","0","0","0","0","0","25,000.00 ","0","0","0","0","91150108064001",
"1385","Small Business Development Loan","169","2024-03-27","1","1,00,000.00 ","0","0","0","0","0","0","1,00,000.00 ","0","0","0","0","91150108064001",
"1495","Small Business Development Loan","170","2021-08-11","1","2,00,000.00 ","0","0","0","0","0","0","2,00,000.00 ","0","0","0","0","91150108064001",
"1499","Small Business Development Loan","175","2024-02-16","1","31,970.00 ","0","0","0","0","0","0","31,970.00 ","0","0","0","0","91150108064001",
"1740","Small Business Development Loan","335","2024-02-17","1","2,00,000.00 ","0","0","0","0","0","0","2,00,000.00 ","0","0","0","0","91150108064001",
"1657","Small Business Development Loan","472","2023-06-02","1","1,25,000.00 ","0","0","0","0","0","0","1,25,000.00 ","0","0","0","0","91150108064001",
"501","Small Business Development Loan","477","2024-03-13","1","50,000.00 ","0","0","0","0","0","0","50,000.00 ","0","0","0","0","91150108064001",
"1185","Small Business Development Loan","489","2023-05-15","1","1,00,000.00 ","0","0","0","0","0","0","1,00,000.00 ","0","0","0","0","91150108064001",
"646","Small Business Development Loan","498","2022-10-14","1","50,000.00 ","0","0","0","0","0","0","50,000.00 ","0","0","0","0","91150108064001",
"1654","Small Business Development Loan","533","2024-03-27","1","30,000.00 ","0","0","0","0","0","0","30,000.00 ","0","0","0","0","91150108064001",
"1640","Small Business Development Loan","582","2023-05-18","1","1,00,000.00 ","0","0","0","0","0","0","1,00,000.00 ","0","0","0","0","91150108064001",
"1352","Small Business Development Loan","589","2023-09-11","1","30,000.00 ","0","0","0","0","0","0","30,000.00 ","0","0","0","0","91150108064001",
"62","Small Business Development Loan","595","2024-02-07","1","51,500.00 ","0","0","0","0","0","0","51,500.00 ","0","0","0","0","91150108064001",
"762","Small Business Development Loan","599","2024-03-11","1","25,000.00 ","0","0","0","0","0","0","25,000.00 ","0","0","0","0","91150108064001",
"1062","Small Business Development Loan","600","2022-03-30","1","25,000.00 ","0","0","0","0","0","0","25,000.00 ","0","0","0","0","91150108064001",
"1439","Small Business Development Loan","602","2023-08-23","1","50,000.00 ","0","0","0","0","0","0","50,000.00 ","0","0","0","0","91150108064001",
"376","Small Business Development Loan","604","2022-10-06","1","34,000.00 ","0","0","0","0","0","0","34,000.00 ","0","0","0","0","91150108064001",
