"SlNo","AdmissionNo","ProductDescription","LoanNo","Scheme","PurposeDescription","SanctionedDate","SanctionedAmount","RepaymentFrequency","LoanPeriod","GestationPeriod","FirstInstallmentDate","InstallmentAmount","DueDate","ROIPercentage","PenalROIPercentage","IODPercentage","LANo","LCNo","LCDate","DCCBLoanAccountNo","OutstandingPrincipal","OutstandingInterest","PacsId","BranchId"
,"2420","Medium Term Agri Loans","20 - P","Normal","Pipe Line-LTO","2022-12-26","6,00,000.00 ","Quarterly","60","0","2023-06-26","60000","2027-12-25","9.1","3","12.1",,,,,"4,80,000.00 ","0","91150108064001",
,"1155","Medium Term Agri Loans","10 - D","Normal","Dairy LTO","2022-03-19","5,00,000.00 ","Quarterly","60","0","2022-09-17","50000","2027-03-18","7.8","3","10.8",,,,,"3,00,000.00 ","0","91150108064001",
,"890","Medium Term Agri Loans","11 - D","Normal","Dairy LTO","2022-12-16","9,00,000.00 ","Quarterly","60","0","2023-06-16","90000","2027-12-15","9.1","3","12.1",,,,,"7,20,000.00 ","0","91150108064001",
,"2388","Medium Term Agri Loans","12 - D","Normal","Dairy LTO","2022-12-27","6,00,000.00 ","Quarterly","60","0","2023-06-27","60000","2027-12-26","9.1","3","12.1",,,,,"4,80,000.00 ","0","91150108064001",
,"249","Medium Term Agri Loans","13 - D","Normal","Dairy LTO","2023-05-29","6,50,000.00 ","Quarterly","60","0","2023-11-27","65000","2028-05-28","10.02","3","13.02",,,,,"5,85,000.00 ","0","91150108064001",
,"790","Medium Term Agri Loans","7 - P","Normal","Poultry-MTO","2020-06-29","6,40,000.00 ","Quarterly","60","0","2020-12-28","71200","2025-06-28","9.9","3","12.9",,,,,"2,12,800.00 ","0","91150108064001",
,"1741","Medium Term Agri Loans","20 - T","Normal","Tractors-LTO","2020-06-23","7,92,000.00 ","Quarterly","60","0","2020-12-22","79200","2025-06-22","9.9","3","12.9",,,,,"2,47,953.00 ","0","91150108064001",
,"447","Medium Term Agri Loans","1 - L","Normal","Land Development / Land Purchase","2021-06-11","3,60,000.00 ","Quarterly","60","0","2021-12-10","36000","2026-06-10","9.1","3","12.1",,,,,"1,80,000.00 ","0","91150108064001",
,"2007","Medium Term Agri Loans","2 - L","Normal","Land Development / Land Purchase","2022-05-06","4,00,000.00 ","Quarterly","60","0","2022-11-04","40000","2027-05-05","10.02","3","13.02",,,,,"2,80,000.00 ","0","91150108064001",
,"1297","Medium Term Agri Loans","3 - L","Normal","Land Development / Land Purchase","2022-09-19","9,00,000.00 ","Quarterly","60","0","2023-03-20","90000","2027-09-18","10.02","3","13.02",,,,,"6,30,000.00 ","0","91150108064001",
,"99","Medium Term Agri Loans","4 - L","Normal","Land Development / Land Purchase","2022-11-25","5,10,000.00 ","Quarterly","60","0","2023-05-26","51000","2027-11-24","10.02","3","13.02",,,,,"4,08,000.00 ","0","91150108064001",
,"495","Medium Term Agri Loans","5 - L","Normal","Land Development / Land Purchase","2022-12-26","4,00,000.00 ","Quarterly","60","0","2023-06-26","40000","2027-12-25","10.02","3","13.02",,,,,"3,20,000.00 ","0","91150108064001",
,"326","Medium Term Agri Loans","6 - L","Normal","Land Development / Land Purchase","2022-12-28","5,50,000.00 ","Quarterly","60","0","2023-06-28","55000","2027-12-27","10.02","3","13.02",,,,,"4,40,000.00 ","0","91150108064001",
,"1135","Medium Term Agri Loans","7 - L","Normal","Land Development / Land Purchase","2022-12-28","4,50,000.00 ","Quarterly","60","0","2023-06-28","45000","2027-12-27","10.02","3","13.02",,,,,"3,60,000.00 ","0","91150108064001",
,"560","Medium Term Agri Loans","8 - L","Normal","Land Development / Land Purchase","2023-08-09","5,90,000.00 ","Quarterly","60","0","2024-02-07","59000","2028-02-08","10.02","3","13.02",,,,,"5,31,000.00 ","0","91150108064001",
,"460","Medium Term Agri Loans","9 - L","Normal","Land Development / Land Purchase","2024-01-24","3,90,000.00 ","Quarterly","60","0","2024-07-24","39000","2029-01-23","10.02","3","13.02",,,,,"3,90,000.00 ","0","91150108064001",
,"101","Medium Term Agri Loans","10 - L","Normal","Land Development / Land Purchase","2024-01-24","5,95,000.00 ","Quarterly","60","0","2024-07-24","59500","2029-01-23","10.02","3","13.02",,,,,"5,95,000.00 ","0","91150108064001",
,"2186","Medium Term Agri Loans","11 - L","Normal","Land Development / Land Purchase","2024-02-07","5,00,000.00 ","Quarterly","60","0","2024-08-07","50000","2029-02-06","10.02","3","13.02",,,,,"5,00,000.00 ","0","91150108064001",
,"893","Medium Term Agri Loans","12 - L","Normal","Land Development / Land Purchase","2024-02-22","3,45,000.00 ","Quarterly","60","0","2024-08-22","34500","2029-02-21","10.02","3","13.02",,,,,"2,76,000.00 ","0","91150108064001",
,"400","Medium Term Agri Loans","13 - L","Normal","Land Development / Land Purchase","2024-02-22","9,00,000.00 ","Quarterly","60","0","2024-08-22","90000","2029-02-21","10.02","3","13.02",,,,,"7,00,000.00 ","0","91150108064001",
