SlNo,AdmissionNo,ProductDescription,LoanNo,Scheme,PurposeDescription,SanctionedDate,SanctionedAmount,RepaymentFrequency,LoanPeriod,GestationPeriod,FirstInstallmentDate,InstallmentAmount,DueDate,ROIPercentage,PenalROIPercentage,IODPercentage,LANo,LCNo,LCDate,DCCBLoanAccountNo,OutstandingPrincipal,OutstandingInterest,PacsId,BranchId
,2420,Medium Term Agri Loans,20 - P,Normal,Pipe Line-LTO,26-12-2022,"6,00,000.00",Quarterly,60,0,26-06-2023,60000,25-12-2027,9.1,3,12.1,,,,,"4,80,000.00",0,91150108064001,
,1155,Medium Term Agri Loans,10 - D,Normal,Dairy LTO,19-03-2022,"5,00,000.00",Quarterly,60,0,17-09-2022,50000,18-03-2027,7.8,3,10.8,,,,,"3,00,000.00",0,91150108064001,
,890,Medium Term Agri Loans,11 - D,Normal,Dairy LTO,16-12-2022,"9,00,000.00",Quarterly,60,0,16-06-2023,90000,15-12-2027,9.1,3,12.1,,,,,"7,20,000.00",0,91150108064001,
,2388,Medium Term Agri Loans,12 - D,Normal,Dairy LTO,27-12-2022,"6,00,000.00",Quarterly,60,0,27-06-2023,60000,26-12-2027,9.1,3,12.1,,,,,"4,80,000.00",0,91150108064001,
,249,Medium Term Agri Loans,13 - D,Normal,Dairy LTO,29-05-2023,"6,50,000.00",Quarterly,60,0,27-11-2023,65000,28-05-2028,10.02,3,13.02,,,,,"5,85,000.00",0,91150108064001,
,790,Medium Term Agri Loans,7 - P,Normal,Poultry-MTO,29-06-2020,"6,40,000.00",Quarterly,60,0,28-12-2020,71200,28-06-2025,9.9,3,12.9,,,,,"2,12,800.00",0,91150108064001,
,1741,Medium Term Agri Loans,20 - T,Normal,Tractors-LTO,23-06-2020,"7,92,000.00",Quarterly,60,0,22-12-2020,79200,22-06-2025,9.9,3,12.9,,,,,"2,47,953.00",0,91150108064001,
,447,Medium Term Agri Loans,1 - L,Normal,Land Development / Land Purchase,11-06-2021,"3,60,000.00",Quarterly,60,0,10-12-2021,36000,10-06-2026,9.1,3,12.1,,,,,"1,80,000.00",0,91150108064001,
,2007,Medium Term Agri Loans,2 - L,Normal,Land Development / Land Purchase,06-05-2022,"4,00,000.00",Quarterly,60,0,04-11-2022,40000,05-05-2027,10.02,3,13.02,,,,,"2,80,000.00",0,91150108064001,
,1297,Medium Term Agri Loans,3 - L,Normal,Land Development / Land Purchase,19-09-2022,"9,00,000.00",Quarterly,60,0,20-03-2023,90000,18-09-2027,10.02,3,13.02,,,,,"6,30,000.00",0,91150108064001,
,99,Medium Term Agri Loans,4 - L,Normal,Land Development / Land Purchase,25-11-2022,"5,10,000.00",Quarterly,60,0,26-05-2023,51000,24-11-2027,10.02,3,13.02,,,,,"4,08,000.00",0,91150108064001,
,495,Medium Term Agri Loans,5 - L,Normal,Land Development / Land Purchase,26-12-2022,"4,00,000.00",Quarterly,60,0,26-06-2023,40000,25-12-2027,10.02,3,13.02,,,,,"3,20,000.00",0,91150108064001,
,326,Medium Term Agri Loans,6 - L,Normal,Land Development / Land Purchase,28-12-2022,"5,50,000.00",Quarterly,60,0,28-06-2023,55000,27-12-2027,10.02,3,13.02,,,,,"4,40,000.00",0,91150108064001,
,1135,Medium Term Agri Loans,7 - L,Normal,Land Development / Land Purchase,28-12-2022,"4,50,000.00",Quarterly,60,0,28-06-2023,45000,27-12-2027,10.02,3,13.02,,,,,"3,60,000.00",0,91150108064001,
,560,Medium Term Agri Loans,8 - L,Normal,Land Development / Land Purchase,09-08-2023,"5,90,000.00",Quarterly,60,0,07-02-2024,59000,08-02-2028,10.02,3,13.02,,,,,"5,31,000.00",0,91150108064001,
,460,Medium Term Agri Loans,9 - L,Normal,Land Development / Land Purchase,24-01-2024,"3,90,000.00",Quarterly,60,0,24-07-2024,39000,23-01-2029,10.02,3,13.02,,,,,"3,90,000.00",0,91150108064001,
,101,Medium Term Agri Loans,10 - L,Normal,Land Development / Land Purchase,24-01-2024,"5,95,000.00",Quarterly,60,0,24-07-2024,59500,23-01-2029,10.02,3,13.02,,,,,"5,95,000.00",0,91150108064001,
,2186,Medium Term Agri Loans,11 - L,Normal,Land Development / Land Purchase,07-02-2024,"5,00,000.00",Quarterly,60,0,07-08-2024,50000,06-02-2029,10.02,3,13.02,,,,,"5,00,000.00",0,91150108064001,
,893,Medium Term Agri Loans,12 - L,Normal,Land Development / Land Purchase,22-02-2024,"3,45,000.00",Quarterly,60,0,22-08-2024,34500,21-02-2029,10.02,3,13.02,,,,,"2,76,000.00",0,91150108064001,
,400,Medium Term Agri Loans,13 - L,Normal,Land Development / Land Purchase,22-02-2024,"9,00,000.00",Quarterly,60,0,22-08-2024,90000,21-02-2029,10.02,3,13.02,,,,,"7,00,000.00",0,91150108064001,
