"AdmissionNo","ProductDescription","LoanNo","TransactionDate","LedgerFolioNo","DisbursementAmount","OtherChargesDebitAmount","CollectedPrincipal","CollectedInterest","CollectedPenalInterest","CollectedIOD","CollectedOthers","BalancePrincipal","BalanceInterest","BalancePenalInterest","BalanceIOD","Charges","PacsId","BranchId"
"744","Medium Term Agri Loans","17 - P","2019-10-18","1","7,40,000.00 ","0","0","0","0","0","0","1,48,000.00 ","0","0","0","0","91150108064001",
"1480","Medium Term Agri Loans","18 - P","2020-06-20","1","6,00,000.00 ","0","0","0","0","0","0","1,80,000.00 ","0","0","0","0","91150108064001",
"2061","Medium Term Agri Loans","19 - P","2022-05-06","1","5,10,000.00 ","0","0","0","0","0","0","3,57,000.00 ","0","0","0","0","91150108064001",
"2420","Medium Term Agri Loans","20 - P","2022-12-26","1","6,00,000.00 ","0","0","0","0","0","0","4,80,000.00 ","0","0","0","0","91150108064001",
"1155","Medium Term Agri Loans","10 - D","2022-03-19","2","5,00,000.00 ","0","0","0","0","0","0","3,00,000.00 ","0","0","0","0","91150108064001",
"890","Medium Term Agri Loans","11 - D","2022-12-16","2","9,00,000.00 ","0","0","0","0","0","0","7,20,000.00 ","0","0","0","0","91150108064001",
"2388","Medium Term Agri Loans","12 - D","2022-12-27","2","6,00,000.00 ","0","0","0","0","0","0","4,80,000.00 ","0","0","0","0","91150108064001",
"249","Medium Term Agri Loans","13 - D","2023-05-29","2","6,50,000.00 ","0","0","0","0","0","0","5,85,000.00 ","0","0","0","0","91150108064001",
"172","Medium Term Agri Loans","14 - D","2023-08-09","2","9,00,000.00 ","0","0","0","0","0","0","8,10,000.00 ","0","0","0","0","91150108064001",
"790","Medium Term Agri Loans","7 - P","2020-06-29",,"6,40,000.00 ","0","0","0","0","0","0","2,12,800.00 ","0","0","0","0","91150108064001",
"732","Medium Term Agri Loans","15 - T","2019-07-08","1","7,60,000.00 ","0","0","0","0","0","0","76,000.00 ","0","0","0","0","91150108064001",
"1741","Medium Term Agri Loans","20 - T","2020-06-23","1","7,92,000.00 ","0","0","0","0","0","0","2,47,953.00 ","0","0","0","0","91150108064001",
"1982","Medium Term Agri Loans","21 - T","2022-02-23","1","9,00,000.00 ","0","0","0","0","0","0","5,40,000.00 ","0","0","0","0","91150108064001",
"427","Medium Term Agri Loans","22 - T","2022-08-01","1","8,24,000.00 ","0","0","0","0","0","0","5,76,800.00 ","0","0","0","0","91150108064001",
"599","Medium Term Agri Loans","23 - T","2022-08-01","1","7,29,000.00 ","0","0","0","0","0","0","5,10,300.00 ","0","0","0","0","91150108064001",
"716","Medium Term Agri Loans","24 - T","2022-09-12","1","8,55,000.00 ","0","0","0","0","0","0","5,98,500.00 ","0","0","0","0","91150108064001",
"2235","Medium Term Agri Loans","25 - T","2023-01-31","1","7,80,000.00 ","0","0","0","0","0","0","6,24,000.00 ","0","0","0","0","91150108064001",
"1117","Medium Term Agri Loans","26 - T","2023-02-01","1","7,80,000.00 ","0","0","0","0","0","0","6,24,000.00 ","0","0","0","0","91150108064001",
"1916","Medium Term Agri Loans","27 - T","2023-05-18","1","9,00,000.00 ","0","0","0","0","0","0","8,21,791.00 ","0","0","0","0","91150108064001",
"378","Medium Term Agri Loans","28 - T","2023-10-26","1","8,80,000.00 ","0","0","0","0","0","0","8,80,000.00 ","0","0","0","0","91150108064001",
"1322","Medium Term Agri Loans","29 - T","2024-03-27","1","8,10,000.00 ","0","0","0","0","0","0","8,10,000.00 ","0","0","0","0","91150108064001",
"447","Medium Term Agri Loans","1 - L","2021-06-11","2","3,60,000.00 ","0","0","0","0","0","0","1,80,000.00 ","0","0","0","0","91150108064001",
"2007","Medium Term Agri Loans","2 - L","2022-05-06","2","4,00,000.00 ","0","0","0","0","0","0","2,80,000.00 ","0","0","0","0","91150108064001",
"1297","Medium Term Agri Loans","3 - L","2022-09-19","2","9,00,000.00 ","0","0","0","0","0","0","6,30,000.00 ","0","0","0","0","91150108064001",
"99","Medium Term Agri Loans","4 - L","2022-11-25","2","5,10,000.00 ","0","0","0","0","0","0","4,08,000.00 ","0","0","0","0","91150108064001",
"495","Medium Term Agri Loans","5 - L","2022-12-26","2","4,00,000.00 ","0","0","0","0","0","0","3,20,000.00 ","0","0","0","0","91150108064001",
"326","Medium Term Agri Loans","6 - L","2022-12-28","2","5,50,000.00 ","0","0","0","0","0","0","4,40,000.00 ","0","0","0","0","91150108064001",
"1135","Medium Term Agri Loans","7 - L","2022-12-28","2","4,50,000.00 ","0","0","0","0","0","0","3,60,000.00 ","0","0","0","0","91150108064001",
"560","Medium Term Agri Loans","8 - L","2023-08-09","2","5,90,000.00 ","0","0","0","0","0","0","5,31,000.00 ","0","0","0","0","91150108064001",
"460","Medium Term Agri Loans","9 - L","2024-01-24","2","3,90,000.00 ","0","0","0","0","0","0","3,90,000.00 ","0","0","0","0","91150108064001",
"101","Medium Term Agri Loans","10 - L","2024-01-24","2","5,95,000.00 ","0","0","0","0","0","0","5,95,000.00 ","0","0","0","0","91150108064001",
"2186","Medium Term Agri Loans","11 - L","2024-02-07","2","5,00,000.00 ","0","0","0","0","0","0","5,00,000.00 ","0","0","0","0","91150108064001",
"893","Medium Term Agri Loans","12 - L","2024-02-22","2","3,45,000.00 ","0","0","0","0","0","0","2,76,000.00 ","0","0","0","0","91150108064001",
"400","Medium Term Agri Loans","13 - L","2024-02-22","2","9,00,000.00 ","0","0","0","0","0","0","7,00,000.00 ","0","0","0","0","91150108064001",
