ADMISSION NO.,LOAN TYPE,PRODUCT,LOAN NO.,CROP / PURPOSE,LEDGER FOLIO NO.,SCHEME,SANCTION DATE,SANCTION AMOUNT,Loan Period( In Months),Due Date,ROI,Penal ROI,ROI After Due Date,REPAYMENT MODE,GESTATION PERIOD,FIRST INSTALLMENT DUE DATE,INSTALLMENT AMOUNT,DPN NO.,LA NO.,LC NO.,LC DATE,DCCB NO.,Outstanding Principal (Rs.),Outstanding Interest (Rs.)
744,Term Loans - MT & LT,Medium Term Agri Loans,17,Pipe Line-LTO,1,Normal,18-10-2019,"7,40,000.00 ",60,17-10-2024,10,3,13,Quarterly,,17-04-2020,74000,,,,,,"1,48,000.00 ",
1480,Term Loans - MT & LT,Medium Term Agri Loans,18,Pipe Line-LTO,1,Normal,20-06-2020,"6,00,000.00 ",60,19-06-2025,9.9,3,12.9,Quarterly,,19-12-2020,60000,,,,,,"1,80,000.00 ",
2061,Term Loans - MT & LT,Medium Term Agri Loans,19,Pipe Line-LTO,1,Normal,06-05-2022,"5,10,000.00 ",60,05-05-2027,9.1,3,12.1,Quarterly,,04-11-2022,51000,,,,,,"3,57,000.00 ",
2420,Term Loans - MT & LT,Medium Term Agri Loans,20,Pipe Line-LTO,1,Normal,26-12-2022,"6,00,000.00 ",60,25-12-2027,9.1,3,12.1,Quarterly,,26-06-2023,60000,,,,,,"4,80,000.00 ",
1155,Term Loans - MT & LT,Medium Term Agri Loans,10,Dairy Loan,2,Normal,19-03-2022,"5,00,000.00 ",60,18-03-2027,7.8,3,10.8,Quarterly,,17-09-2022,50000,,,,,,"3,00,000.00 ",
890,Term Loans - MT & LT,Medium Term Agri Loans,11,Dairy Loan,2,Normal,16-12-2022,"9,00,000.00 ",60,15-12-2027,9.1,3,12.1,Quarterly,,16-06-2023,90000,,,,,,"7,20,000.00 ",
2388,Term Loans - MT & LT,Medium Term Agri Loans,12,Dairy Loan,2,Normal,27-12-2022,"6,00,000.00 ",60,26-12-2027,9.1,3,12.1,Quarterly,,27-06-2023,60000,,,,,,"4,80,000.00 ",
249,Term Loans - MT & LT,Medium Term Agri Loans,13,Dairy Loan,2,Normal,29-05-2023,"6,50,000.00 ",60,28-05-2028,10.02,3,13.02,Quarterly,,27-11-2023,65000,,,,,,"5,85,000.00 ",
172,Term Loans - MT & LT,Medium Term Agri Loans,14,Dairy Loan,2,Normal,09-08-2023,"9,00,000.00 ",60,08-08-2028,10.02,3,13.02,Quarterly,,07-02-2024,90000,,,,,,"8,10,000.00 ",
790,Term Loans - MT & LT,Medium Term Agri Loans,7,Poultry Loan,,Normal,29-06-2020,"6,40,000.00 ",60,28-06-2025,9.9,3,12.9,,,28-12-2020,71200,,,,,,"2,12,800.00 ",
732,Term Loans - MT & LT,Medium Term Agri Loans,15,Tractor Loan,1,Normal,08-07-2019,"7,60,000.00 ",60,07-07-2024,9.9,3,12.9,Quarterly,,06-01-2020,76000,,,,,,"76,000.00 ",
