AdmissionNo,ProductDescription,LoanNo,TransactionDate,LedgerFolioNo,DisbursementAmount,OtherChargesDebitAmount,CollectedPrincipal,CollectedInterest,CollectedPenalInterest,CollectedIOD,CollectedOthers,BalancePrincipal,BalanceInterest,BalancePenalInterest,BalanceIOD,Charges,PacsId,BranchId
744,Medium Term Agri Loans,17,18-10-2019,1,"7,40,000.00",0,0,0,0,0,0,"1,48,000.00",0,0,0,0,91150108064001,
1480,Medium Term Agri Loans,18,20-06-2020,1,"6,00,000.00",0,0,0,0,0,0,"1,80,000.00",0,0,0,0,91150108064001,
2061,Medium Term Agri Loans,19,06-05-2022,1,"5,10,000.00",0,0,0,0,0,0,"3,57,000.00",0,0,0,0,91150108064001,
2420,Medium Term Agri Loans,20,26-12-2022,1,"6,00,000.00",0,0,0,0,0,0,"4,80,000.00",0,0,0,0,91150108064001,
1155,Medium Term Agri Loans,10,19-03-2022,2,"5,00,000.00",0,0,0,0,0,0,"3,00,000.00",0,0,0,0,91150108064001,
890,Medium Term Agri Loans,11,16-12-2022,2,"9,00,000.00",0,0,0,0,0,0,"7,20,000.00",0,0,0,0,91150108064001,
2388,Medium Term Agri Loans,12,27-12-2022,2,"6,00,000.00",0,0,0,0,0,0,"4,80,000.00",0,0,0,0,91150108064001,
249,Medium Term Agri Loans,13,29-05-2023,2,"6,50,000.00",0,0,0,0,0,0,"5,85,000.00",0,0,0,0,91150108064001,
172,Medium Term Agri Loans,14,09-08-2023,2,"9,00,000.00",0,0,0,0,0,0,"8,10,000.00",0,0,0,0,91150108064001,
790,Medium Term Agri Loans,7,29-06-2020,,"6,40,000.00",0,0,0,0,0,0,"2,12,800.00",0,0,0,0,91150108064001,
732,Medium Term Agri Loans,15,08-07-2019,1,"7,60,000.00",0,0,0,0,0,0,"76,000.00",0,0,0,0,91150108064001,
1741,Medium Term Agri Loans,20,23-06-2020,1,"7,92,000.00",0,0,0,0,0,0,"2,47,953.00",0,0,0,0,91150108064001,
1982,Medium Term Agri Loans,21,23-02-2022,1,"9,00,000.00",0,0,0,0,0,0,"5,40,000.00",0,0,0,0,91150108064001,
427,Medium Term Agri Loans,22,01-08-2022,1,"8,24,000.00",0,0,0,0,0,0,"5,76,800.00",0,0,0,0,91150108064001,
599,Medium Term Agri Loans,23,01-08-2022,1,"7,29,000.00",0,0,0,0,0,0,"5,10,300.00",0,0,0,0,91150108064001,
716,Medium Term Agri Loans,24,12-09-2022,1,"8,55,000.00",0,0,0,0,0,0,"5,98,500.00",0,0,0,0,91150108064001,
2235,Medium Term Agri Loans,25,31-01-2023,1,"7,80,000.00",0,0,0,0,0,0,"6,24,000.00",0,0,0,0,91150108064001,
1117,Medium Term Agri Loans,26,01-02-2023,1,"7,80,000.00",0,0,0,0,0,0,"6,24,000.00",0,0,0,0,91150108064001,
1916,Medium Term Agri Loans,27,18-05-2023,1,"9,00,000.00",0,0,0,0,0,0,"8,21,791.00",0,0,0,0,91150108064001,
378,Medium Term Agri Loans,28,26-10-2023,1,"8,80,000.00",0,0,0,0,0,0,"8,80,000.00",0,0,0,0,91150108064001,
1322,Medium Term Agri Loans,29,27-03-2024,1,"8,10,000.00",0,0,0,0,0,0,"8,10,000.00",0,0,0,0,91150108064001,
447,Medium Term Agri Loans,1,11-06-2021,2,"3,60,000.00",0,0,0,0,0,0,"1,80,000.00",0,0,0,0,91150108064001,
2007,Medium Term Agri Loans,2,06-05-2022,2,"4,00,000.00",0,0,0,0,0,0,"2,80,000.00",0,0,0,0,91150108064001,
1297,Medium Term Agri Loans,3,19-09-2022,2,"9,00,000.00",0,0,0,0,0,0,"6,30,000.00",0,0,0,0,91150108064001,
99,Medium Term Agri Loans,4,25-11-2022,2,"5,10,000.00",0,0,0,0,0,0,"4,08,000.00",0,0,0,0,91150108064001,
495,Medium Term Agri Loans,5,26-12-2022,2,"4,00,000.00",0,0,0,0,0,0,"3,20,000.00",0,0,0,0,91150108064001,
326,Medium Term Agri Loans,6,28-12-2022,2,"5,50,000.00",0,0,0,0,0,0,"4,40,000.00",0,0,0,0,91150108064001,
1135,Medium Term Agri Loans,7,28-12-2022,2,"4,50,000.00",0,0,0,0,0,0,"3,60,000.00",0,0,0,0,91150108064001,
560,Medium Term Agri Loans,8,09-08-2023,2,"5,90,000.00",0,0,0,0,0,0,"5,31,000.00",0,0,0,0,91150108064001,
460,Medium Term Agri Loans,9,24-01-2024,2,"3,90,000.00",0,0,0,0,0,0,"3,90,000.00",0,0,0,0,91150108064001,
101,Medium Term Agri Loans,10,24-01-2024,2,"5,95,000.00",0,0,0,0,0,0,"5,95,000.00",0,0,0,0,91150108064001,
2186,Medium Term Agri Loans,11,07-02-2024,2,"5,00,000.00",0,0,0,0,0,0,"5,00,000.00",0,0,0,0,91150108064001,
893,Medium Term Agri Loans,12,22-02-2024,2,"3,45,000.00",0,0,0,0,0,0,"2,76,000.00",0,0,0,0,91150108064001,
400,Medium Term Agri Loans,13,22-02-2024,2,"9,00,000.00",0,0,0,0,0,0,"7,00,000.00",0,0,0,0,91150108064001,
