"SlNo","AdmissionNo","ProductDescription","LoanNo","Scheme","PurposeDescription","SanctionedDate","SanctionedAmount","RepaymentFrequency","LoanPeriod","GestationPeriod","FirstInstallmentDate","InstallmentAmount","DueDate","ROIPercentage","PenalROIPercentage","IODPercentage","LANo","LCNo","LCDate","DCCBLoanAccountNo","OutstandingPrincipal","OutstandingInterest","PacsId","BranchId"
,"744","Medium Term Agri Loans","17","Normal","Pipe Line-LTO","2019-10-18","7,40,000.00 ","Quarterly","60","0","2020-04-17","74000","2024-10-17","10","3","13",,,,,"1,48,000.00 ","0","91150108064001",
,"1480","Medium Term Agri Loans","18","Normal","Pipe Line-LTO","2020-06-20","6,00,000.00 ","Quarterly","60","0","2020-12-19","60000","2025-06-19","9.9","3","12.9",,,,,"1,80,000.00 ","0","91150108064001",
,"2061","Medium Term Agri Loans","19","Normal","Pipe Line-LTO","2022-05-06","5,10,000.00 ","Quarterly","60","0","2022-11-04","51000","2027-05-05","9.1","3","12.1",,,,,"3,57,000.00 ","0","91150108064001",
,"2420","Medium Term Agri Loans","20","Normal","Pipe Line-LTO","2022-12-26","6,00,000.00 ","Quarterly","60","0","2023-06-26","60000","2027-12-25","9.1","3","12.1",,,,,"4,80,000.00 ","0","91150108064001",
,"1155","Medium Term Agri Loans","10","Normal","Dairy LTO","2022-03-19","5,00,000.00 ","Quarterly","60","0","2022-09-17","50000","2027-03-18","7.8","3","10.8",,,,,"3,00,000.00 ","0","91150108064001",
,"890","Medium Term Agri Loans","11","Normal","Dairy LTO","2022-12-16","9,00,000.00 ","Quarterly","60","0","2023-06-16","90000","2027-12-15","9.1","3","12.1",,,,,"7,20,000.00 ","0","91150108064001",
,"2388","Medium Term Agri Loans","12","Normal","Dairy LTO","2022-12-27","6,00,000.00 ","Quarterly","60","0","2023-06-27","60000","2027-12-26","9.1","3","12.1",,,,,"4,80,000.00 ","0","91150108064001",
,"249","Medium Term Agri Loans","13","Normal","Dairy LTO","2023-05-29","6,50,000.00 ","Quarterly","60","0","2023-11-27","65000","2028-05-28","10.02","3","13.02",,,,,"5,85,000.00 ","0","91150108064001",
,"172","Medium Term Agri Loans","14","Normal","Dairy LTO","2023-08-09","9,00,000.00 ","Quarterly","60","0","2024-02-07","90000","2028-08-08","10.02","3","13.02",,,,,"8,10,000.00 ","0","91150108064001",
,"790","Medium Term Agri Loans","7","Normal","Poultry-MTO","2020-06-29","6,40,000.00 ","Quarterly","60","0","2020-12-28","71200","2025-06-28","9.9","3","12.9",,,,,"2,12,800.00 ","0","91150108064001",
,"732","Medium Term Agri Loans","15","Normal","Tractors-LTO","2019-07-08","7,60,000.00 ","Quarterly","60","0","2020-01-06","76000","2024-07-07","9.9","3","12.9",,,,,"76,000.00 ","0","91150108064001",
,"1741","Medium Term Agri Loans","20","Normal","Tractors-LTO","2020-06-23","7,92,000.00 ","Quarterly","60","0","2020-12-22","79200","2025-06-22","9.9","3","12.9",,,,,"2,47,953.00 ","0","91150108064001",
,"1982","Medium Term Agri Loans","21","Normal","Tractors-LTO","2022-02-23","9,00,000.00 ","Quarterly","60","0","2022-08-24","90000","2027-02-22","9.1","3","12.1",,,,,"5,40,000.00 ","0","91150108064001",
,"427","Medium Term Agri Loans","22","Normal","Tractors-LTO","2022-08-01","8,24,000.00 ","Quarterly","60","0","2023-01-30","82400","2027-07-31","10.02","3","13.02",,,,,"5,76,800.00 ","0","91150108064001",
,"599","Medium Term Agri Loans","23","Normal","Tractors-LTO","2022-08-01","7,29,000.00 ","Quarterly","60","0","2023-01-30","72900","2027-07-31","10.02","3","13.02",,,,,"5,10,300.00 ","0","91150108064001",
,"716","Medium Term Agri Loans","24","Normal","Tractors-LTO","2022-09-12","8,55,000.00 ","Quarterly","60","0","2023-03-13","85500","2027-09-11","10.02","3","13.02",,,,,"5,98,500.00 ","0","91150108064001",
,"2235","Medium Term Agri Loans","25","Normal","Tractors-LTO","2023-01-31","7,80,000.00 ","Quarterly","60","0","2023-08-01","78000","2028-01-30","10.02","3","13.02",,,,,"6,24,000.00 ","0","91150108064001",
,"1117","Medium Term Agri Loans","26","Normal","Tractors-LTO","2023-02-01","7,80,000.00 ","Quarterly","60","0","2023-08-02","78000","2028-01-31","10.02","3","13.02",,,,,"6,24,000.00 ","0","91150108064001",
,"1916","Medium Term Agri Loans","27","Normal","Tractors-LTO","2023-05-18","9,00,000.00 ","Quarterly","60","0","2023-11-16","90000","2028-05-17","10.02","3","13.02",,,,,"8,21,791.00 ","0","91150108064001",
,"378","Medium Term Agri Loans","28","Normal","Tractors-LTO","2023-10-26","8,80,000.00 ","Quarterly","60","0","2024-04-25","88000","2028-10-25","10.02","3","13.02",,,,,"8,80,000.00 ","0","91150108064001",
,"1322","Medium Term Agri Loans","29","Normal","Tractors-LTO","2024-03-27","8,10,000.00 ","Quarterly","60","0","2024-09-25","81000","2029-03-26","10.02","3","13.02",,,,,"8,10,000.00 ","0","91150108064001",
,"447","Medium Term Agri Loans","1","Normal","Land Development / Land Purchase","2021-06-11","3,60,000.00 ","Quarterly","60","0","2021-12-10","36000","2026-06-10","9.1","3","12.1",,,,,"1,80,000.00 ","0","91150108064001",
,"2007","Medium Term Agri Loans","2","Normal","Land Development / Land Purchase","2022-05-06","4,00,000.00 ","Quarterly","60","0","2022-11-04","40000","2027-05-05","10.02","3","13.02",,,,,"2,80,000.00 ","0","91150108064001",
,"1297","Medium Term Agri Loans","3","Normal","Land Development / Land Purchase","2022-09-19","9,00,000.00 ","Quarterly","60","0","2023-03-20","90000","2027-09-18","10.02","3","13.02",,,,,"6,30,000.00 ","0","91150108064001",
,"99","Medium Term Agri Loans","4","Normal","Land Development / Land Purchase","2022-11-25","5,10,000.00 ","Quarterly","60","0","2023-05-26","51000","2027-11-24","10.02","3","13.02",,,,,"4,08,000.00 ","0","91150108064001",
,"495","Medium Term Agri Loans","5","Normal","Land Development / Land Purchase","2022-12-26","4,00,000.00 ","Quarterly","60","0","2023-06-26","40000","2027-12-25","10.02","3","13.02",,,,,"3,20,000.00 ","0","91150108064001",
,"326","Medium Term Agri Loans","6","Normal","Land Development / Land Purchase","2022-12-28","5,50,000.00 ","Quarterly","60","0","2023-06-28","55000","2027-12-27","10.02","3","13.02",,,,,"4,40,000.00 ","0","91150108064001",
,"1135","Medium Term Agri Loans","7","Normal","Land Development / Land Purchase","2022-12-28","4,50,000.00 ","Quarterly","60","0","2023-06-28","45000","2027-12-27","10.02","3","13.02",,,,,"3,60,000.00 ","0","91150108064001",
,"560","Medium Term Agri Loans","8","Normal","Land Development / Land Purchase","2023-08-09","5,90,000.00 ","Quarterly","60","0","2024-02-07","59000","2028-02-08","10.02","3","13.02",,,,,"5,31,000.00 ","0","91150108064001",
,"460","Medium Term Agri Loans","9","Normal","Land Development / Land Purchase","2024-01-24","3,90,000.00 ","Quarterly","60","0","2024-07-24","39000","2029-01-23","10.02","3","13.02",,,,,"3,90,000.00 ","0","91150108064001",
,"101","Medium Term Agri Loans","10","Normal","Land Development / Land Purchase","2024-01-24","5,95,000.00 ","Quarterly","60","0","2024-07-24","59500","2029-01-23","10.02","3","13.02",,,,,"5,95,000.00 ","0","91150108064001",
,"2186","Medium Term Agri Loans","11","Normal","Land Development / Land Purchase","2024-02-07","5,00,000.00 ","Quarterly","60","0","2024-08-07","50000","2029-02-06","10.02","3","13.02",,,,,"5,00,000.00 ","0","91150108064001",
,"893","Medium Term Agri Loans","12","Normal","Land Development / Land Purchase","2024-02-22","3,45,000.00 ","Quarterly","60","0","2024-08-22","34500","2029-02-21","10.02","3","13.02",,,,,"2,76,000.00 ","0","91150108064001",
,"400","Medium Term Agri Loans","13","Normal","Land Development / Land Purchase","2024-02-22","9,00,000.00 ","Quarterly","60","0","2024-08-22","90000","2029-02-21","10.02","3","13.02",,,,,"7,00,000.00 ","0","91150108064001",
