"ProductDescription","AdmissionNo","LoanNo","TransactionDate","LedgerFolioNo","DisbursementAmount","OtherChargesDebitAmount","CollectedPrincipal","CollectedInterest","CollectedPenalInterest","CollectedIOD","CollectedOthers","BalancePrincipal","BalanceInterest","BalancePenalInterest","BalanceIOD","Charges","BranchId","PacsId"
"Normal KCC","136","1","2024-02-01","1","1,77,500.00 ","0","0","0","0","0","0","1,77,500.00 ","0","0",,"0",,"91150108064001"
"Normal KCC","138","2","2024-03-16","1","1,72,000.00 ","0","0","0","0","0","0","1,72,000.00 ","0","0",,"0",,"91150108064001"
"Normal KCC","2184","3","2023-07-31","1","2,00,000.00 ","0","0","0","0","0","0","2,00,000.00 ","0","0",,"0",,"91150108064001"
"Normal KCC","251","4","2023-07-11","1","1,28,500.00 ","0","0","0","0","0","0","1,28,500.00 ","0","0",,"0",,"91150108064001"
"Normal KCC","33","5","2023-04-13","1","2,00,000.00 ","0","0","0","0","0","0","2,00,000.00 ","0","0",,"0",,"91150108064001"
"Normal KCC","1817","7","2024-01-18","1","1,32,000.00 ","0","0","0","0","0","0","1,32,000.00 ","0","0",,"0",,"91150108064001"
"Normal KCC","118","10","2024-02-16","1","57,500.00 ","0","0","0","0","0","0","57,500.00 ","0","0",,"0",,"91150108064001"
"Normal KCC","32","11","2024-01-18","1","1,07,000.00 ","0","0","0","0","0","0","1,07,000.00 ","0","0",,"0",,"91150108064001"
"Normal KCC","2451","12","2024-01-18","1","1,13,500.00 ","0","0","0","0","0","0","1,13,500.00 ","0","0",,"0",,"91150108064001"
"Normal KCC","323","13","2023-08-19","1","1,15,000.00 ","0","0","0","0","0","0","1,15,000.00 ","0","0",,"0",,"91150108064001"
"Normal KCC","1159","14","2024-03-07","1","1,58,000.00 ","0","0","0","0","0","0","1,58,000.00 ","0","0",,"0",,"91150108064001"
"Normal KCC","2234","16","2023-05-15","1","50,000.00 ","0","0","0","0","0","0","50,000.00 ","0","0",,"0",,"91150108064001"
"Normal KCC","83","17","2024-03-16","1","81,000.00 ","0","0","0","0","0","0","81,000.00 ","0","0",,"0",,"91150108064001"
"Normal KCC","85","18","2023-10-11","1","1,41,500.00 ","0","0","0","0","0","0","1,41,500.00 ","0","0",,"0",,"91150108064001"
"Normal KCC","161","19","2024-02-01","1","1,42,500.00 ","0","0","0","0","0","0","1,42,500.00 ","0","0",,"0",,"91150108064001"
"Normal KCC","272","20","2023-06-19","1","90,500.00 ","0","0","0","0","0","0","90,500.00 ","0","0",,"0",,"91150108064001"
