"SlNo","ProductDescription","AdmissionNo","LoanNo","PurposeDescription","SanctionedDate","SanctionedAmount","LoanPeriod","DueDate","ROI","PenalROI","IOD","LedgerFolioNo","OutstandingPrincipal","OutstandingInterest","PacsId","BranchId"
,"FD Loan","681","1","Deposit Loans","2024-03-30","2,85,000.00 ","12","2025-03-29","9","3","12","1","2,85,000.00 ","0","91150108064001",
,"FD Loan","1","4","Deposit Loans","2023-09-20","50,000.00 ","12","2024-09-18","9","3","12","1","50,000.00 ","0","91150108064001",
,"FD Loan","2","17","Deposit Loans","2023-08-28","1,00,000.00 ","12","2024-08-26","9","3","12","1","1,00,000.00 ","0","91150108064001",
,"FD Loan","995","26","Deposit Loans","2024-02-14","50,000.00 ","12","2025-02-12","9","3","12","1","50,000.00 ","0","91150108064001",
,"FD Loan","2","39","Deposit Loans","2024-03-13","10,70,000.00 ","12","2025-03-12","9","3","12","1","10,70,000.00 ","0","91150108064001",
,"FD Loan","1","53","Deposit Loans","2024-03-20","2,85,000.00 ","12","2025-03-19","9","3","12","1","2,85,000.00 ","0","91150108064001",
,"FD Loan","731","54","Deposit Loans","2024-01-23","1,50,000.00 ","12","2025-01-21","9","3","12","1","1,50,000.00 ","0","91150108064001",
,"FD Loan","593","56","Deposit Loans","2024-01-19","50,000.00 ","12","2025-01-17","9","3","12","1","50,000.00 ","0","91150108064001",
,"FD Loan","1","57","Deposit Loans","2023-11-22","15,000.00 ","12","2024-11-20","9","3","12","1","15,000.00 ","0","91150108064001",
,"FD Loan","391","66","Deposit Loans","2023-12-11","50,000.00 ","12","2024-12-09","9","3","12","1","50,000.00 ","0","91150108064001",
,"FD Loan","2","76","Deposit Loans","2024-01-03","50,000.00 ","12","2025-01-01","9","3","12","1","50,000.00 ","0","91150108064001",
,"FD Loan","1","77","Deposit Loans","2024-01-05","2,40,000.00 ","12","2025-01-03","9","3","12","1","2,40,000.00 ","0","91150108064001",
,"FD Loan","1","80","Deposit Loans","2024-02-20","9,500.00 ","12","2025-02-18","9","3","12","1","9,500.00 ","0","91150108064001",
,"FD Loan","1","82","Deposit Loans","2024-03-20","70,000.00 ","12","2025-03-19","9","3","12","1","70,000.00 ","0","91150108064001",
